epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1427.92,0.99066,1.46799,1.08251,0.99445,0.125,0.12437,0.06219,2.22304,5.61963,2.56259,0.000324815,0.000324815,0.000324815
44,1461.65,0.9434,1.37882,1.0438,0.98956,0.125,0.12619,0.07499,2.16547,5.86658,2.50611,0.000319311,0.000319311,0.000319311
45,1495.65,0.98867,1.36896,1.05624,0.98748,0.125,0.12437,0.08706,2.13344,5.83491,2.44613,0.000313806,0.000313806,0.000313806
46,1534.63,0.91768,1.38073,1.08311,0.99228,0.125,0.12676,0.08754,2.17377,5.90587,2.47811,0.000308302,0.000308302,0.000308302
47,1573.38,0.88993,1.34962,1.05314,0.99072,0.125,0.12984,0.08824,2.15554,6.00201,2.45353,0.000302798,0.000302798,0.000302798
48,1607.8,0.98609,1.38192,1.10048,0.99287,0.125,0.13465,0.0774,2.23797,5.67353,2.4143,0.000297293,0.000297293,0.000297293
49,1644.65,0.92538,1.40059,1.08324,0.9952,0.125,0.132,0.07674,2.2664,5.57456,2.47731,0.000291789,0.000291789,0.000291789
50,1681.91,0.94748,1.31133,1.07667,0.99596,0.125,0.13639,0.06727,2.1666,5.28291,2.49461,0.000286284,0.000286284,0.000286284
51,1720.31,0.88985,1.38371,1.07166,0.99577,0.125,0.15045,0.06966,2.26853,5.3879,2.52062,0.00028078,0.00028078,0.00028078
52,1758.05,0.92742,1.40879,1.04217,0.99485,0.125,0.1444,0.06722,2.28685,5.39457,2.51371,0.000275276,0.000275276,0.000275276
53,1795.3,0.89691,1.2259,1.02502,0.99482,0.125,0.14361,0.06731,2.27045,5.46772,2.54632,0.000269771,0.000269771,0.000269771
54,1833.63,0.85824,1.17769,1.01297,0.99484,0.125,0.13804,0.06574,2.11886,5.50264,2.46789,0.000264267,0.000264267,0.000264267
55,1875.61,0.79854,1.40169,1.01758,0.99276,0.125,0.13094,0.0645,2.09943,5.53651,2.48469,0.000258762,0.000258762,0.000258762
56,1914.43,0.76179,1.20607,1.01224,0.99426,0.125,0.12749,0.06289,2.16849,5.51926,2.63604,0.000253258,0.000253258,0.000253258
57,1952.03,0.87682,1.3294,1.04179,0.99492,0.125,0.12437,0.06219,2.13135,5.46045,2.62878,0.000247754,0.000247754,0.000247754
58,1990.83,0.83214,1.19394,1.00001,0.99544,0.125,0.12437,0.06219,2.19273,5.38924,2.75016,0.000242249,0.000242249,0.000242249
59,2027.9,0.82947,1.29156,1.02738,0.99541,0.125,0.12437,0.06219,2.17348,5.38333,2.74519,0.000236745,0.000236745,0.000236745
60,2067.07,0.77244,1.16159,1.00428,0.99631,0.125,0.12522,0.05026,2.06782,5.3439,2.75049,0.00023124,0.00023124,0.00023124
61,2105.22,0.78626,1.16125,0.98141,0.99636,0.125,0.12638,0.05115,2.1253,5.33781,2.79264,0.000225736,0.000225736,0.000225736
62,2143.22,0.80341,1.26391,1.02946,0.99575,0.125,0.12793,0.05153,2.21371,5.23973,2.89914,0.000220232,0.000220232,0.000220232
63,2180.1,0.76359,1.21919,0.99657,0.99564,0.125,0.12898,0.05203,2.18639,5.41181,2.85278,0.000214727,0.000214727,0.000214727
64,2217.83,0.81364,1.24972,1.04093,0.99618,0.125,0.12935,0.05321,2.0971,5.43633,2.69434,0.000209223,0.000209223,0.000209223
65,2255.62,0.76751,1.21411,1.01161,0.99632,0.125,0.12978,0.05232,2.09394,5.31747,2.71066,0.000203718,0.000203718,0.000203718
66,2292.1,0.79506,1.23501,0.98452,0.99612,0.125,0.13681,0.06467,2.16511,5.20531,2.81848,0.000198214,0.000198214,0.000198214
67,2329.04,0.77724,1.08567,0.96179,0.9961,0.125,0.13394,0.06697,2.16814,5.23205,2.83293,0.00019271,0.00019271,0.00019271
68,2367.02,0.78882,1.11577,1.01401,0.9965,0.125,0.13568,0.06784,2.12106,5.31597,2.79246,0.000187205,0.000187205,0.000187205
69,2405.96,0.72426,1.09073,0.99861,0.99658,0.125,0.13474,0.06737,2.17065,5.26229,2.83553,0.000181701,0.000181701,0.000181701
70,2443.83,0.80081,1.21865,1.01307,0.99668,0.125,0.13568,0.06576,2.17464,5.29088,2.75073,0.000176196,0.000176196,0.000176196
71,2479.28,0.71237,1.08498,0.9828,0.9967,0.125,0.13003,0.0528,2.14882,5.21687,2.74689,0.000170692,0.000170692,0.000170692
72,2515.17,0.74235,1.03203,0.97865,0.99674,0.125,0.12437,0.04988,2.10073,5.29667,2.73717,0.000165188,0.000165188,0.000165188
73,2551.24,0.81003,1.29361,0.99489,0.99673,0.125,0.12437,0.04991,2.08877,5.30388,2.72899,0.000159683,0.000159683,0.000159683
74,2588.41,0.77152,1.09247,0.96894,0.9967,0.125,0.12437,0.05002,2.07909,5.3368,2.76288,0.000154179,0.000154179,0.000154179
75,2627.76,0.68645,1.08087,0.97513,0.99668,0.125,0.12437,0.05007,2.05713,5.30415,2.76692,0.000148674,0.000148674,0.000148674
76,2665.36,0.69801,1.01296,0.96587,0.99672,0.125,0.12437,0.06219,2.12052,5.34268,2.80997,0.00014317,0.00014317,0.00014317
77,2700.47,0.72093,1.03922,0.96971,0.99672,0.125,0.12437,0.06219,2.19135,5.30937,2.84765,0.000137666,0.000137666,0.000137666
78,2737.93,0.67706,1.03802,0.94937,0.9967,0.125,0.12437,0.06219,2.18484,5.25778,2.82184,0.000132161,0.000132161,0.000132161
79,2774.89,0.7414,1.07606,0.96624,0.99672,0.125,0.12437,0.06219,2.18856,5.25602,2.82477,0.000126657,0.000126657,0.000126657
80,2810.57,0.73293,1.07248,0.98873,0.99672,0.125,0.12437,0.06219,2.17874,5.25968,2.81318,0.000121152,0.000121152,0.000121152
81,2845.88,0.70835,1.07811,0.96726,0.99675,0.125,0.12437,0.06219,2.20955,5.31373,2.8496,0.000115648,0.000115648,0.000115648
82,2881.23,0.67556,1.12142,0.9739,0.99675,0.125,0.12437,0.05048,2.21445,5.25732,2.84222,0.000110144,0.000110144,0.000110144
83,2920.78,0.63683,1.00742,0.9225,0.99673,0.125,0.12437,0.05032,2.24582,5.28309,2.86924,0.000104639,0.000104639,0.000104639
84,2962.54,0.64496,1.00681,0.95223,0.99664,0.125,0.12437,0.05012,2.22368,5.27757,2.8224,9.91348e-05,9.91348e-05,9.91348e-05
85,3000.7,0.60783,1.0219,0.95739,0.99663,0.125,0.12437,0.05002,2.24446,5.27547,2.81882,9.36304e-05,9.36304e-05,9.36304e-05
